scope	component	version	license
jvm-outer-nested	xz	1.10	0BSD
jvm-outer-nested	kotlin-logging-jvm	8.0.4	Apache-2.0
jvm-outer-nested	kotlin-stdlib	2.4.10	Apache-2.0
jvm-outer-nested	kotlinx-coroutines-core-jvm	1.11.0	Apache-2.0
jvm-outer-relocated	tomlj	1.1.1	Apache-2.0
jvm-outer-relocated	antlr4-runtime	4.11.1	BSD-3-Clause
jvm-analysis-worker	analysis-api-for-ide	2.4.10	Apache-2.0
jvm-analysis-worker	analysis-api-impl-base-for-ide	2.4.10	Apache-2.0
jvm-analysis-worker	analysis-api-k2-for-ide	2.4.10	Apache-2.0
jvm-analysis-worker	analysis-api-platform-interface-for-ide	2.4.10	Apache-2.0
jvm-analysis-worker	analysis-api-standalone-for-ide	2.4.10	Apache-2.0
jvm-analysis-worker	caffeine	2.9.3	Apache-2.0
jvm-analysis-worker	util-diff	251.27812.49	Apache-2.0
jvm-analysis-worker	kotlin-compiler	2.4.10	Apache-2.0
jvm-analysis-worker	kotlin-stdlib	2.4.10	Apache-2.0
jvm-analysis-worker	kotlin-stdlib-jdk7	2.4.10	Apache-2.0
jvm-analysis-worker	kotlin-stdlib-jdk8	2.4.10	Apache-2.0
jvm-analysis-worker	kotlinx-coroutines-core-jvm	1.8.0-intellij-13	Apache-2.0
jvm-analysis-worker	kotlinx-serialization-core-jvm	1.7.3	Apache-2.0
jvm-analysis-worker	low-level-api-fir-for-ide	2.4.10	Apache-2.0
jvm-analysis-worker	symbol-light-classes-for-ide	2.4.10	Apache-2.0
jvm-analysis-formatter	ec4j-core	1.1.1	Apache-2.0
jvm-analysis-formatter	kotlin-logging-jvm	7.0.13	Apache-2.0
jvm-analysis-formatter	ktlint-cli-ruleset-core	1.8.0	MIT
jvm-analysis-formatter	ktlint-logger	1.8.0	MIT
jvm-analysis-formatter	ktlint-rule-engine	1.8.0	MIT
jvm-analysis-formatter	ktlint-rule-engine-core	1.8.0	MIT
jvm-analysis-formatter	ktlint-ruleset-standard	1.8.0	MIT
jvm-analysis-formatter	poko-annotations-jvm	0.20.1	Apache-2.0
jvm-analysis-formatter	slf4j-api	2.0.18	MIT
jvm-worker	kotlin-compiler	2.4.10	Apache-2.0
jvm-worker	kotlin-stdlib	2.4.10	Apache-2.0
jvm-worker	kotlin-stdlib-jdk7	2.4.10	Apache-2.0
jvm-worker	kotlin-stdlib-jdk8	2.4.10	Apache-2.0
jvm-worker	kotlinx-coroutines-core-jvm	1.8.0	Apache-2.0
rust-native	block-buffer	0.10.4	Apache-2.0
rust-native	cfg-if	1.0.4	Apache-2.0
rust-native	cpufeatures	0.2.17	Apache-2.0
rust-native	crypto-common	0.1.7	Apache-2.0
rust-native	digest	0.10.7	Apache-2.0
rust-native	generic-array	0.14.7	MIT
rust-native	ryu	1.0.23	Apache-2.0
rust-native	sha2	0.10.9	Apache-2.0
rust-native	typenum	1.20.1	Apache-2.0
rust-native	version_check	0.9.5	Apache-2.0
